No,Date,New Cases,Tests,Deaths,Recoveries
1,4 mar,1,92,0,0
2,5 mar,0,179,0,0
3,6 mar,4,0,0,0
4,7 mar,1,299,0,0
5,8 mar,5,230,0,0
6,9 mar,6,246,0,0
7,10 mar,5,394,0,0
8,11 mar,9,210,0,0
9,12 mar,20,655,1,0
10,13 mar,17,1525,1,0
11,14 mar,36,1079,1,0
12,15 mar,21,1206,0,0
13,16 mar,52,1200,1,0
14,17 mar,61,1616,1,1
15,18 mar,49,1681,0,0
16,19 mar,68,1876,0,0
17,20 mar,70,2012,0,2
18,21 mar,111,2523,0,0
19,22 mar,98,2520,2,0
20,23 mar,115,2771,1,0
21,24 mar,152,3346,2,1
22,25 mar,150,3320,3,6
23,26 mar,170,4503,3,9
24,27 mar,168,4607,0,1
25,28 mar,249,4109,2,3
26,29 mar,224,3824,4,5
27,30 mar,193,4812,9,7
28,31 mar,256,4382,2,0
29,1 kwi,243,5377,10,12
30,2 kwi,392,5760,14,0
31,3 kwi,437,5963,14,0
32,4 kwi,244,7856,8,69
33,5 kwi,475,4710,15,18
34,6 kwi,311,6748,13,28
35,7 kwi,435,7069,22,29
36,8 kwi,357,8313,30,31
37,9 kwi,370,10698,15,62
38,10 kwi,380,11265,7,34
39,11 kwi,401,8447,27,57
40,12 kwi,318,5623,24,64
41,13 kwi,260,4691,13,48
42,14 kwi,268,8172,18,131
43,15 kwi,380,12578,23,50
44,16 kwi,336,10583,28,106
45,17 kwi,461,13306,18,92
46,18 kwi,363,11286,15,115
47,19 kwi,545,9990,13,59
48,20 kwi,306,10119,20,93
49,21 kwi,263,14444,21,164
50,22 kwi,313,11920,25,216
51,23 kwi,342,14482,28,227
52,24 kwi,381,13793,40,204
53,25 kwi,381,11639,30,182
54,26 kwi,344,7226,11,139
55,27 kwi,285,12885,27,201
56,28 kwi,316,13783,34,189
57,29 kwi,422,13500,28,370
58,30 kwi,300,16601,20,211
59,1 maj,228,11385,7,255
60,2 maj,270,9935,12,271
61,3 maj,318,7856,15,183
62,4 maj,313,10466,20,150
63,5 maj,425,16198,18,185
64,6 maj,311,15526,17,375
65,7 maj,324,17512,22,207
66,8 maj,340,17180,21,322
67,9 maj,288,16218,9,253
68,10 maj,345,14312,15,261
69,11 maj,330,16562,11,118
70,12 maj,595,20344,28,315
71,13 maj,322,26235,22,279
72,14 maj,411,21919,22,286
73,15 maj,401,25118,10,222
74,16 maj,241,18855,8,257
75,17 maj,272,15797,10,276
76,18 maj,356,17178,11,177
77,19 maj,383,21637,12,275
78,20 maj,471,22369,14,280
79,21 maj,405,22341,10,269
80,22 maj,476,31368,10,279
81,23 maj,316,16502,11,246
82,24 maj,395,12135,3,217
83,25 maj,341,22177,11,82
84,26 maj,445,23021,17,744
85,27 maj,399,21988,4,310
86,28 maj,352,26724,10,230
87,29 maj,333,25613,13,132
88,30 maj,412,16477,10,324
89,31 maj,219,15974,3,225
90,01 cze,374,14435,10,178
91,02 cze,236,21222,18,277
92,03 cze,292,29427,23,288
93,04 cze,361,18333,2,213
94,05 cze,362,23344,20,183
95,06 cze,576,18115,16,231
96,07 cze,575,14404,4,214
97,08 cze,599,17053,9,143
98,09 cze,400,22056,19,205
99,10 cze,282,19130,23,215
100,11 cze,359,21944,9,285
101,12 cze,376,18105,7,109
102,13 cze,440,19654,15,299
103,14 cze,375,13282,10,122
104,15 cze,396,19109,9,157
105,16 cze,407,25966,16,271
106,17 cze,455,23852,14,267
107,18 cze,314,26725,30,396
108,19 cze,352,22723,18,381
109,20 cze,309,21443,12,483
110,21 cze,311,,10,502
